Code,Name,Room,Place,Year,Shape,Material,Description
0046,"Hippopotamus, funerary figurine",2,"Egypt civilization, Egypt",1850 BCE,length 14.5 cm,"faience, painted decoration","This charming hippopotamus in blue earthware is shown covered with aquatic plants, in reference to its natural habitat on the banks of the Nile. In Egyptian mythology, the animal could embody benign or malevolent deities, depending on whether it was female or male. Juvenile animals embodied the Nun, the primordial swamp that the Egyptians believed to be the origin of life. Figurines like this were placed in tombs to ensure that a person would be reborn in the afterlife."
0047,Ushabti funerary servant figurines,2,"Egypt civilization, Egypt",570-332 BCE,,faience,
0048,Funerary servant for Pharaoh Seti I,2,"Egypt civilization, Egypt, Valley of the Kings",About 1290 BCE,height 22.9 cm,faience,"This figurine with its discreet smile and delicate features has an unusually serene face. The fine quality of the craftsmanship, bright blue earthenware, and the pharaoh's headdress show that it belonged to a member of the Egyptian elite, and more specifically Pharaoh Seti I. This statuette, which was placed in his tomb, depicts a servant who worked the land, as is clear from the agricultural implements he is holding. Egyptians believed that they would continue to farm the land in the afterlife to provide food."
0049,Jars to hold the entrails of General,2,"Egypt civilization, Egypt",664-525 BCE,,alabaster,
0050,False door from the tomb of Vizier Rekhmire,2,"Egypt civilization, Egypt, Thebes",1479-1425 BCE,,granite,
0051,Mummy bandage with an extract from the Book of Dead,2,"Egypt civilization, Egypt",About 300 BCE,length 310 cm,linen,"This funerary bandage, which is over three metres long, was originally folded over and placed along the body of a deceased person in their tomb. The scenes depicted are taken from the Book of the Dead, a collection of magic spells to accompany the deceased on their journey to the next life. After a number of trials and stages, the dead person could progress to the afterlife. This woven linen was less expensive than papyrus, thus proving that funeral rites were carried out across all social strata."
0052,Sarcopagus of Henuttawy: coffins and mummy's wrapping,2,"Egypt civilization, Egypt",950-900 BCE,,"painted wood, stuccoed and painted cloth","This remarkably well-preserved cartonnage, which was originally enclosed inside three other sarcophagi, covered the body of the Egyptian princess Henuttawy, who lived in the early first millennium BCE. The deceased woman's status as a royal princess explains the richness and complexity of the decoration, which includes inscriptions, depictions of deities, and various forms of ornamentation. For ancient Egyptians, preserving the body and name of the deceased was essential in order to ensure access to the afterlife and survival there."
0053,"Gudea, prince of Lagash",2,"Neo-Sumerian kingdom, Iraq, Girsu (modern Tello)",About 2120 BCE,height 107 cm,black stone,"These are statues of two sovereigns, Gudea (code 0053), a Mesopotamian ruler of the kingdom of Lagash, and the Egyptian pharaoh Ramesses II (code 0054). The two royal effigies depict different concepts of power. Gudea, with his hands clasped, is portrayed as a humble and pious king who sateguards the prosperity of his people. The Egyptian pharaoh, by contrast, was both god and man, an absolute ruler who presided over the smooth running of the world and the stability of the cosmos."
0054,"Ramesses II, paraoh of Egypt",2,"Egypt civilization, Egypt, Tanis",1279-1213 BCE,height 259 cm,diorite,"These are statues of two sovereigns, Gudea (code 0053), a Mesopotamian ruler of the kingdom of Lagash, and the Egyptian pharaoh Ramesses II (code 0054). The two royal effigies depict different concepts of power. Gudea, with his hands clasped, is portrayed as a humble and pious king who sateguards the prosperity of his people. The Egyptian pharaoh, by contrast, was both god and man, an absolute ruler who presided over the smooth running of the world and the stability of the cosmos."
0055,"Stele in the name of Tutankhanum, pharaoh of Egypt ",2,"Egypt civilization, Egypt, Abydos",About 1327 BCE,"height 166 cm, width 82 cm",pink granite,"This substantial headstone belongs to the small number of monuments which have been preserved from the reign of Tutankhamun, one of the most well-known Egyptian pharaohs. He can be identified by his crown and is depicted in two separate scenes: on the left, he is presenting offerings to the god Osiris, and on the right he is receiving them from a high-ranking official. The official addresses the young pharaoh with a phrase conferring divine protection. Tutankhamun is depicted symmetrically here as man and god simultaneously, acting as a force to ensure order in the world."
0056,Cuirass,2,"France, Marmesse",1000-800 BCE,height 49 cm,bronze,"The purpose of this bronze breastplate dating from the gth or gth century BCE was largely ceremonial. At that time, warrior castes all over Europe attributed sacred power to their weapons. The decoration, emphasising the contours ot the wearer's chest, exaggerated the owner's anatomy as a mark of his prestige. However, it shows no signs of having been used in battle. The grimacing mask on the plastron at the front had a symbolic protective function."
0057,Vase with double-headed axe motifs,2,"Greek civilization, Greece, Crete",1500-1450 BCE,,painted ceramic,
0058,Sword with a leaf-shaped blade,2,France,1000-900 BCE,,copper alloy,
0059,Dagger with lion-shaped handle,2,"UAE, Dubai, Saruq al-Hadid",1100-600 BCE,,copper alloy,
0060,Axe blade with animal motifs,2,"North Ossetia, Koban",1000-700 BCE,,bronze,
0061,Spherical object: part of a mace,2,"France, La Ferte-Hauterive",900-800 BCE,,bronze,
0062,Axe blade from Iran,2,"Iran, Luristan",1000-700 BCE,,bronze,"There is a lion's head at the base of the blade and another at the haft, whose tail forms a loop. The fine detail on this weapon shows great mastery of the bronze worker's craft. This obiect comes from Luristan, a region in modern-day Iran, situated at the intersection of various metal deposits and on the routes between Central Asia and Mesopotamia. It dates from around 1000 BCE, when Luristan was a major metalworking centre. Highly skilled artisans produced all types of weapons for the new warrior aristocracy."
0063,Axe blade from UAE,2,"UAE, Abu Dhabi, Hili",1000-600 BCE,,bronze,
0064,Incised arrowheads,2,"UAE, Fujairah, Qidfa",1500-1000 BCE,,copper alloy,
0065,Vase: chariot scene,2,"Greek civilisation, Cyprus, Larcana region",1300-1100 BCE,,painted terracotta,
0066,Vase: animals and armed horsemen,2,"Greece, Corinth",590-580 BCE,diameter 40 cm,painted terracotta,"This large bowl is an example of the ceremonial tableware used for banquets in ancient Greece. It has a painted pattern of deer and lions on the lower part and horsemen riding slowly at the top. At the time the bowl was made, only the elite rode horses in Greece, so from the 6th century BCE aristocrats often had themselves depicted on horseback. Such was the prestige involved that horsemen were one of the commonest motifs on the ceramics of the period."
0067,Vase: centaurus and parade of chariots,2,"Greek civilisation, Greece, Athens",715-700 BCE,,painted terracotta,
0068,Horse bit in the form of a horse rider,2,"Iran, Luristan",900-700 BCE,,bronze,
0069,Horse rider,2,"Cyprus, Castroulla",700-600 BCE,,painted terracotta,
0070,Low-relief of a deer hunting scene,2,"Neo-Hittite, Turkey, Malatya",900-800 BCE,,limestone,
0071,"Tripod ritual vase, called Li ",2,"Erligang culture, China",1450-1200 BCE,,bronze,
0072,Gu ritual vessel,2,"Shang dynasty, China",1200-1050 BCE,,bronze,
0073,"Tripod ritual vase, called Jue",2,"Shang dynasty, China",1200-1050 BCE,,bronze,
0074,"Ritual vase, called Pou",2,"Shang dynasty, China",1400-1100 BCE,,bronze,
0075,"Sphinx, mythological creature",3,"Greek civilization, Greece or Italy",600-500 BCE,height 57cm,limestone,"The sphinx is a fearsome mythical animal with the body of a lion, the wings of a bird of prey and the head of a young woman. In the Greek world these hybrid creatures had a commemorative function. Placed at the top of a column, this sculpture probably protected a burial site. The sphinx was introduced into Greece from the oriental bestiary in the 9th century BCE. It was replaced by human figures at the beginning of the 5th century BCE and disappeared from the repertoire of Greek sculpture."
0076,Persian archer,3,"Achaemenid empire, Iran, Susa",About 510 BCE,"heigth 195 cm, width 78 cm",glazed brick,"This archer wearing an ornate tunic guarded the entrance to the palace of Darius, who reigned over the Persian Achaemenid empire in the late 6th century BCE. His huge palace in Susa, in modern-day Iran, was lavishly decorated, notably with a frieze featuring a multitude of archers similar to this one. Under his rule, the Achaemenid empire was at its peak, extending from Egypt to the Indus, and from Central Asia to the borders of the Arabian Peninsula, forming one of the largest territories ever united under the control of a sovereign."
0077,Military helmet,3,"Greek civilization, Greece",About 550 BCE,,bronze,
0078,Amphora decorated with warriors,3,"Greece, Athens, The Princeton Painter",About 550 BCE,,painted terracotta,"The two black figures on this amphora depict an episode from the myth of the twelve labours of Heracles. Here, the Greek hero is fighting the Nemean lion, which was believed to be invincible. In ancient Greek culture, painters liked to draw inspiration from mythology to depict this type of scene on banquetware. This decoration with black figures on a red background is attributed to the painter Antimenes, who was at his peak around 520 BCE, in an era when the ""red-figure"" technique was being established."
0079,Low-relief of a combat scene,3,"Neo-assyrian Empire, Iraq",645-640 BCE,,limestone,
0080,Vase in the form of a captive man ,3,"Moche culture, Peru",100 BCE - 700 CE,,painted terracotta,
0081,Figures of bound captive ,3,Egypt,332-30 BCE,,glass,
0082,Head of a male devotee,3,"Afghanistan, Hadda",300-400 CE,,stucco,
0083,Amphora showing Heracles battling the Nemean lion,3,"Greece, Athens",About 520 BCE,,painted terracotta,
0084,Cup depicting the fall of Troy,3,"Greece, Athens, Brygos Painter",About 490 BCE,,painted terracotta,
0085,Male torso: athlete (Roman statue after a Greek model),3,Roman Empire,1-200 CE,height 141 cm,marble,"This marble statue, which dates from the Roman era, is probably a copy of a Greek bronze original dating from the late 5th century BCE. Although incomplete, it perfectly illustrates the exploration of form carried out by Greek sculptors of that period, which is considered the apogee of Classical sculpture. The powerful musculature and dynamic ""contrapposto"" pose, in which the body rests on its left leg, are characteristic of an ideal of male beauty that left a lasting impression on Western sculpture."
0086,"Ariadne, a Cretan princess (Roman statue after a Greek model)",3,"Roman Empire, Italy",1-200 CE,,marble,
0087,"Athena, protective deity of Athens (Roman statue after a Greek model)",3,Italy,100-200 CE,,marble,
0088,Head of a young man: architectural fragment,3,"Graeco-Roman culture, Italy, Etruria",300-200 BCE,,terracotta,
0089,Head of a man,3,"Nok culture, Nigeria",500-100 BCE,,terracotta,"The cylindrical shaped head, triangular eyes with perforated pupils, open mouth, prominent eyebrows and nostrils all show that this is a Nok head, as does the material used - terracotta. The Nok culture flourished in West Africa in the centuries prior to the first millennium, where it exerted considerable influence. The sophistication of this object suggests a long artistic tradition. Furthermore, Nok art demonstrates the ancient roots of human depictions in African art."
0090,Vase in the form of a human face,3,"Maya culture, Guatemala",300 BCE - 100 CE,,terracotta,
0091,Buddha head from Pakistan,3,"Kushan empire, Pakistan, Gandhara",100-300 CE,,schist,"These three sculptures (code 0091 and 0092 and 0093) from different civilisations are each in their own way proof of the emergence of a new conception of the human being in the first millennium BCE. In Greece, the philosopher Socrates was the first person to explore the nature of humans as autonomous individuals and as social beings. In China, Confucius placed humankind at the heart of his thinking and developed a system of morality aimed at creating social harmony. Lastly, in Pakistan, the figure of Buddha promoted a form of spirituality in which a balance was established between mind and body, thus freeing humanity from all forms of desire and greed."
0092,Lamp support in the form of a kneeling figure,3,"Warring States period, China",475-221 BCE,,bronze,"These three sculptures (code 0091 and 0092 and 0093) from different civilisations are each in their own way proof of the emergence of a new conception of the human being in the first millennium BCE. In Greece, the philosopher Socrates was the first person to explore the nature of humans as autonomous individuals and as social beings. In China, Confucius placed humankind at the heart of his thinking and developed a system of morality aimed at creating social harmony. Lastly, in Pakistan, the figure of Buddha promoted a form of spirituality in which a balance was established between mind and body, thus freeing humanity from all forms of desire and greed."
0093,"Portrait of Socrates, Greek philosopher (Roman replica of a Greek original)",3,Roman Empire,1-100 CE,,marble,"These three sculptures (code 0091 and 0092 and 0093) from different civilisations are each in their own way proof of the emergence of a new conception of the human being in the first millennium BCE. In Greece, the philosopher Socrates was the first person to explore the nature of humans as autonomous individuals and as social beings. In China, Confucius placed humankind at the heart of his thinking and developed a system of morality aimed at creating social harmony. Lastly, in Pakistan, the figure of Buddha promoted a form of spirituality in which a balance was established between mind and body, thus freeing humanity from all forms of desire and greed."
0094,Winged dragon,3,"Warring States period, Northern China",475-221 BCE,"height 48.5 cm, length 25 cm",bronze,"This lively bronze sculpture depicts a winged dragon, a mythical creature which held great symbolic meaning for many centuries in China. Empires often sought to associate themselves with this powerful motif throughout history. However, this sculpture in the classical Chinese bronze-making tradition owes its dynamic and lifelike appearance to the art of the nomadic peoples, of what is now the Mongolian steppe, who lived on the borders of the northern provinces of China where this work was most probably made."
0095,Sarcophagus lids in Egyptian style and Greek style,3,Lebanon and Liban,About 450 BCE,height about 225 cm,marble,"These two sarcophagus lids, dating from the 5th century BCE, come from Phoenicia, what is today Lebanon. They are modelled on Egyptian sarcophagi that Phoenician kings brought back for their own burials from military campaigns. A number of high-ranking Phoenicians then had their own sarcophagi made in marble. The first is strongly influenced by Egyptian art, especially the headdress, whereas the other is Greek-influenced and more naturalistic."
0096,Portrait of a queen: Cleopatra VII 51-30 BCE,3,"Ptolemaic Dynasty, Egypt, Alexandria",305-30 BCE,,marble,
0097,Image of a queen or goddess,3,"Egypt civilization, Egypt",360-282 BCE,,black stone,"This Egyptian bas-relief depicts the profile of a woman, probably a deity or queen, wearing a vulture headdress. In ancient Egypt, this bird of prey was the animal attribute of many female deities. The Egyptians considered it to be a symbol of motherhood. They believed that vultures were always female and were fertilised by the wind. Furthermore, the roughness of the rock in some areas suggests that this is a fragment of a sculpture which was deliberately left unfinished."
0098,Funerary portrait of a man with a cup,3,"Roman empire, Egypt, Antinopolis",225-250 CE,height 23 cm,wax paint on wood,"With its emaciated face, furrowed brow and dark-ringed eyes, this 3rd-century CE portrait strives to be very realistic and is an example of the Roman tradition in its purest form. However, this portrait is actually Egyptian in origin and was created to cover the face of a mummified body, replacing the funerary masks of the pharaonic tradition. In 30 BCE, Egypt became a province of the Roman empire and different traditions blended during this period."
0099,"Augustrus, the first Roman emperor (27-14 BCE)",3,"Roman empire, Italy, Rome",27 BCE - 100 CE,height 52 cm,marble,"Portraits of the first Roman emperor, Augustus, have survived through numerous busts and statues produced during his reign. Augustus can be recognised by the artfully arranged locks of his hair, his high forehead, prominent cheekbones and determined chin. He deliberately chose to be portrayed with severe-looking features, which heightened his authority and charisma. The official image of the emperor was circulated widely across the Roman empire, through sculptures but also on coins bearing his effigy."
0100,"Head of a Roman emperor, fragment from a monumental statue",3,"Roman empire, Italy, Rome",About 200 CE,,gilded bronze,"This male head with its intense gaze inspires a feeling of peace. However, it bears witness to a turbulent episode in the history of Rome in Italy. It probably depicts Clodius Albinus, a short-lived emperor from the second century CE. The head is the only surviving section of his monumental statue and the marks around the base suggest that it was probably decapitated. This was a period of fierce power struggles in the Roman Empire. When Septimus Severus became emperor, he destroyed depictions of his predecessor, in a similar manner to the fate of this striking head."
0101,"Julia Flavia Titi, imperial pricess (64-91 CE)",3,"Roman empire, Italy",80-91 CE,,marble,
0102,Funerary figurine of a horse's head,3,"Eastern Han dynasty, China",25-220 CE,,terracotta,"With its pricked ears, flared nostrils and gaping mouth, this terracotta head perfectly captures the expression of a horse neighing. It is a stunning example of animal art from the Han dynasty, which dominated a large part of modern-day China from 25 to 206 CE. The horse is an allegory of the aristocracy. Used for war and as a symbol of prestige, the horse is also included Chinese mythology. This type of figurine, a symbol of blessings from heaven, is found in the graves of high-ranking figures."
0103,Model of a watchtower,3,"Han dynasty, China",25-220 CE,,glazed terracotta,
0104,Statuette of a servant,3,"Western Han dynasty, China",200-100 BCE,,terracotta,
0105,Bi disc with engraved decoration,3,"End of warring states period, western Han dynasty, China",300-100 BCE,,jade,
0106,Mosaic: interlacing with animal motifs,3,"Roman empire, Tunisia, Sousse",300-325 CE,"length 252 cm, width 135 cm","marble, limestone, glass paste","These two mosaic panels (code 0106 and code 0107) originally adorned a lavish villa in the 4th century CE in the Roman province called Africa, in what is now Tunisia. The art of mosaics originated in the Greek world and became immensely popular all across the empire during the Roman era, with regional styles developing. These two scenes, for example, illustrate the repertoire of the African workshops, with their reference to the circus with the racing 'cupids' mounted on fish, and the taste for parody that emerges in the figures of the monkey musicians."
0107,Mosaic: procession of cupids riding on fish,3,"Roman empire, Tunisia, Sousse",300-325 CE,"height 80 cm, length 228cm","marble, limestone, glass paste","These two mosaic panels (code 0106 and code 0107) originally adorned a lavish villa in the 4th century CE in the Roman province called Africa, in what is now Tunisia. The art of mosaics originated in the Greek world and became immensely popular all across the empire during the Roman era, with regional styles developing. These two scenes, for example, illustrate the repertoire of the African workshops, with their reference to the circus with the racing 'cupids' mounted on fish, and the taste for parody that emerges in the figures of the monkey musicians."
0108,"Bodhisattva, intercessor between the Buddha and his followers",3,"Kushan empire, Pakistan, Gandhara",100-300 CE, height 136 cm,schist,"These two figures (code 0108 and code 0109) wear flowing, pleated garments in which particular care has been taken with the sculpting of the drapery. They show the influence that Greek art, diffused by the conquests of Alexander the Great, continued to have over the centuries and across a vast geographical area. In the 4th century BCE, Alexander's empire stretched from the Mediterranean to the borders of India. The sculpture on the left is Roman while the one on the right is from Gandhara, in what is now Pakistan. They show that, from the same source, the two geographically separate cultures developed very different aesthetics."
0109,"Man dressed in a Roman toga, called ""The Orator""",3,"Roman empire, Italy",100-150 CE,height 169 cm,marble,"These two figures (code 0108 and code 0109) wear flowing, pleated garments in which particular care has been taken with the sculpting of the drapery. They show the influence that Greek art, diffused by the conquests of Alexander the Great, continued to have over the centuries and across a vast geographical area. In the 4th century BCE, Alexander's empire stretched from the Mediterranean to the borders of India. The sculpture on the left is Roman while the one on the right is from Gandhara, in what is now Pakistan. They show that, from the same source, the two geographically separate cultures developed very different aesthetics."
0110,Mosque lamp in the name of Emir Shaykhu,4,Egypt or Syria,1250-1300,,"blown, gilded and enamelled glass",
0111,"Maitreya, a Budda in a time yet to come",4,"Malla dynasty, Nepal",1100-1200,,"copper gilt, semiprecious stones",
0112,Scenes from the life of St Nicasius,4,"France, Soissons region",1200-1225,,stained glass window: glass and lead,
0113,"Sho-Kannon, bohdisattva of Compassion",4,Japan,1100-1200,,"wood, black lacquer and gold",
0114,Christ showing his wounds,4,Germany (Bavaria) or Austria,1515-1520,,painted wood,
0115,Set of Romanesque columns and capitals,4,"France, Beauville, Bimont Church",1100-1150,height 142 cm,"stone, traces of paint","The capitals from a medieval church that topped these bare stone columns were originally painted in a multitude of bright colours. In the Middle Ages, churches were extremely bright as colour was considered to be light, which was believed to emanate from the divine. Because they supported the building and, by extension, the ecclesial institution, columns were of great symbolic value, in addition to their architectural function. This is why architects used them so abundantly in religious buildings and sculptors decorated them in painstaking detail and with bright colours."
0116,Red sandstone Buddha head in India,5,"Gupta empire, Northern India, Mathura region",400-500,,red sandstone,"Carved out of a block of red sandstone, this head depicts the Buddha deep in meditation. His eyes half-closed and lowered, it seems as if he is no longer of this world. The Buddha's inward-looking gaze is characteristic of the aesthetic of the Gupta era in the 3rd and 4th centuries CE, the golden age of Indian civilisation. From an artistic point of view, this period was a phase of classicism, marked by a subtle balance between realism and the idealisation of forms."
0117,White marble Buddha head in China,5,"Eastern Wei or Northern Qi dynasty, Northern China ",530-580,height 51 cm,white marble,"Sculpted in the mid-6th century, this Buddha head in white marble came from a temple or chapel in northern China. Buddhism was introduced to China in the 1st century, brought from India by pilgrims and traders travelling along the Silk Road. In the north of the country it led to the construction of colossal monasteries, founded, in some cases, at the direct initiative of the sovereigns."
0118,"Guanyin, Bodhisattva of Compassion",5,"Jin or Northern Song dynasty, China, Shanxi province",1050-1150,,"carved, painted and gilded wood",
0119,Mirror case of imperial provenance,5,"Tang dynasty, China, from the Shoso-in collection of Japan",700-800,diameter 38.5 cm,"wood, tortoiseshell, mother of pearl, amber","This wooden box, decorated with slivers of tortoiseshell and inlaid with painted amber beads, comes from one of the most brilliant periods of Chinese civilisation, during the Tang dynasty. The dynasty, which reigned between the 7th and 10th centuries, corresponded to a veritable golden age in the arts. The decorative repertoire is reminiscent of the art of the Persian Sassanid empire, with which the Chinese empire had a relationship."
0120,Dish decorated with plant motifs,5,"Tang dynasty, China",About 800,diameter 24.5 cm,silver gilt,"This covered bowl crafted entirely from gold and silver is illustrative of the magnificent work produced by Chinese goldsmiths under the Tang dynasty that ruled China between 618 and 907 CE, a period considered the golden age of Chinese civilisation. The dynasty's capital, Chang'an, was one of the most cosmopolitan cities in the world. The decoration of flower and fruit motifs, and the technique used to make the bowl, reveal the influence of Persian Sassanid goldsmiths, whose work inspired Chinese craftsmen during that period."
